Date,Adjusted Price,Monthly Return (%)
2017-09-01,36.16676712036133,-5.6553261811343125
2017-10-01,39.66798400878906,9.680757134791307
2017-11-01,40.32740783691406,1.6623578046691012
2017-12-01,39.85532760620117,-1.170618832288961
2018-01-01,39.4314079284668,-1.06364620038506
2018-02-01,41.94900894165039,6.384760639921394
2018-03-01,39.67494583129883,-5.421017487003576
2018-04-01,39.079044342041016,-1.5019591754242945
2018-05-01,44.189151763916016,13.076336711687642
2018-06-01,43.9417724609375,-0.559819080257884
2018-07-01,45.17140579223633,2.798324378908301
2018-08-01,54.035247802734375,19.622683542918406
2018-09-01,53.77452850341797,-0.4824985725395581
2018-10-01,52.1356201171875,-3.047741062250875
2018-11-01,42.54033660888672,-18.404467975508965
2018-12-01,37.70705032348633,-11.361655009543837
2019-01-01,39.78675842285156,5.515435658646206
2019-02-01,41.3907470703125,4.031463509577304
2019-03-01,45.6014518737793,10.173058235247279
2019-04-01,48.175010681152344,5.643589626261081
2019-05-01,42.02920150756836,-12.75725544569195
2019-06-01,47.69779968261719,13.487284963117997
2019-07-01,51.341644287109375,7.639439615115284
2019-08-01,50.30536651611328,-2.018396148750301
2019-09-01,54.18080520629883,7.703827560712062
2019-10-01,60.17776870727539,11.068428160383604
2019-11-01,64.65071105957031,7.432881690999205
2019-12-01,71.25045013427734,10.208300831565364
2020-01-01,75.09866333007812,5.400966855014255
2020-02-01,66.32732391357422,-11.679754375855655
2020-03-01,61.846656799316406,-6.755386543404351
2020-04-01,71.45601654052734,15.537395614433835
2020-05-01,77.32719421386719,8.216491707188744
2020-06-01,88.9643325805664,15.049218434738343
2020-07-01,103.65514373779297,16.51314715807317
2020-08-01,125.87670135498047,21.437969034512516
2020-09-01,113.17472839355469,-10.090805387094948
2020-10-01,106.38287353515625,-6.001211537950757
2020-11-01,116.34099578857422,9.360644173732634
2020-12-01,129.8943328857422,11.649665713536073
2021-01-01,129.17971801757812,-0.5501509205891653
2021-02-01,118.70514678955078,-8.108526159348028
2021-03-01,119.7551040649414,0.8845086365564914
2021-04-01,128.88253784179688,7.621749275843648
2021-05-01,122.16685485839844,-5.210700453184691
2021-06-01,134.50279235839844,10.097614049488612
2021-07-01,143.2431182861328,6.498248679064411
2021-08-01,149.1060333251953,4.092981993976941
2021-09-01,139.1695556640625,-6.664034606474766
2021-10-01,147.3328094482422,5.865689335018609
2021-11-01,162.57754516601562,10.347142482970773
2021-12-01,174.90037536621094,7.579663100222045
2022-01-01,172.15231323242188,-1.57121568666454
2022-02-01,162.63754272460938,-5.526948972777768
2022-03-01,172.2039794921875,5.882059337170853
2022-04-01,155.4776611328125,-9.71308468520835
2022-05-01,146.78907775878906,-5.588316231874268
2022-06-01,135.03419494628906,-8.00800917341833
2022-07-01,160.5061798095703,18.86335892431761
2022-08-01,155.28140258789062,-3.255187574633278
